,res_id,name,locality,address,timings,cuisines,average_cost_for_one,aggregate_rating,votes,scope,url,highlights,,,,,,,feature,group
22,18396250,Huber Holly,Ahmedabad,1 Bodakdev,8 AM to 11 PM,"Ice Cream, Desserts, Continental",375,4.5,217,4.166967,https://images.unsplash.com/photo-1613946069412-38f7f1ff0b65?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Delivery', 'Breakfast', 'Live Sports Screening', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",,,,,,,"Lunch, Cash, Takeaway Available, Credit Card, Debit Card, Dinner, Delivery, Breakfast",G4
24,113433,Fozzies Pizzaiolo,Ahmedabad,Bodakdev,11 AM to 11 PM,"Pizza, Italian, Beverages, Desserts",400,4.3,731,4.272201,https://images.unsplash.com/photo-1560624052-449f5ddf0c31?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Table Reservation Not Required', 'Indoor Seating', 'Digital Payments Accepted', 'Catering Available', 'Pure Veg', 'Air Conditioned']",,,,,,,"Cash, Takeaway Available, Credit Card, Debit Card, Lunch, Delivery, Breakfast, No Alcohol Available",G1
25,18438909,La Pinoz Pizza,Ahmedabad,Bodakdev,11 AM to 1 AM,"Pizza, Italian",1000,4.4,113,4.373281,https://images.unsplash.com/photo-1587899897387-091ebd01a6b2?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=913,"['Dinner', 'Takeaway Available', 'Debit Card', 'Serves Alcohol', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Above 18 Only', 'Air Conditioned', 'Smoking Area', 'Wifi', 'Free Parking', 'Nightlife', 'Fullbar', 'Wine', 'Live Music', 'Serves Cocktails', 'Table booking recommended', 'Wheelchair Accessible', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Beer', 'Indoor Seating']",,,,,,,"Delivery, Dinner, Cash, Credit Card, Lunch, Takeaway Available,Debit Card, Live Sports Screening",G1
26,18143128,Mocha,Ahmedabad,Bodakdev,12noon â€“ 1am (Mon-Sun),"Cafe, Continental, Desserts",550,4.4,944,4.748944,https://images.unsplash.com/photo-1599458448510-59aecaea4752?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Free Wifi', 'Air Conditioned', 'Nightlife', 'Indoor Seating', 'Table booking recommended']",,,,,,,"Dinner, Takeaway Available, No Alcohol Available, Lunch, Cash, Breakfast, Indoor Seating",G3
27,18438944,Blue-Rooftop Cafe Restaurant Bistro,Ahmedabad,C G Road,11:30am â€“ 11:30pm (Mon-Sun),"North Indian, Cafe, Italian, Mexican, Continental",175,3.8,63,4.258082,https://images.unsplash.com/photo-1560053608-13721e0d69e8?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Dinner', 'Takeaway Available', 'Lunch', 'Indoor Seating', 'Air Conditioned']",,,,,,,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating",G1
29,18385201,Cryo Lab,Ahmedabad,Ellis Bridge,6:30am â€“ 11pm (Mon-Sun),"Desserts, Ice Cream",750,4.6,166,4.408441,https://images.unsplash.com/photo-1570560258879-af7f8e1447ac?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,"['Dinner', 'Serves Alcohol', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Fullbar', 'Beer', 'Serves Cocktails', 'Air Conditioned', 'Wheelchair Accessible', 'Buffet', 'Valet Parking Available', 'Wine', 'Indoor Seating', '4/5 Star', 'Table booking recommended']",,,,,,,"Lunch, Delivery,Breakfast, Debit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Credit Card",G4
30,110395,Swati Snacks,Ahmedabad,Ellis Bridge,"Closed (Mon-Wed),11am â€“ 11:30pm (Thu-Sun)","Fast Food, Street Food, South Indian",175,4.4,697,3.900327,https://images.unsplash.com/photo-1636405189565-4cbc66136815?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Free Parking', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",,,,,,,"Lunch, Serves Alcohol,Takeaway Available,Debit Card, Dinner, Cash, Credit Card, Nightlife,Indoor Seating,",G1
31,18335583,Brick Kitchen,Ahmedabad,Ghatlodia,8am â€“ 12midnight (Mon-Sun),"North Indian, Chinese, Continental",150,4.3,325,4.171168,https://images.unsplash.com/photo-1642567694541-c11712a88197?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=394,"['Cash', 'Debit Card', 'Delivery', 'Lunch', 'Credit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Table booking recommended', 'Outdoor Seating']",,,,,,,"Lunch,Cash, Takeaway Available, Breakfast, Dinner, Credit Card, Outdoor Seating, Free Wifi, Indoor Seating, Air Conditioned, Smoking Area",G2
32,110237,Kabir Restaurant,Ahmedabad,Gurukul,11 AM to 1 AM,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",250,3.8,432,4.14311,https://images.unsplash.com/photo-1580196515879-2d99ad7fd767?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NjR8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",,,,,,,"No Alcohol Available, No Seating Available, Dinner, Takeaway Available, Lunch, Cash",G3
33,113537,Puffizza,Ahmedabad,Gurukul,12noon â€“ 1am (Mon-Sun),"Italian, Fast Food",750,4.3,744,4.481468,https://images.unsplash.com/photo-1601065700897-d9fa1c093f3e?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8ODN8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Lunch', 'Serves Alcohol', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']",,,,,,,"Delivery, Dinner, No Alcohol Available, Debit Card, Lunch, Takeaway Available, Credit Card, Cash, Indoor Seating",G3
34,113703,Cafe Alfresco,Ahmedabad,Navrangpura,12noon â€“ 11:30pm (Mon-Sun),"Cafe, Beverages, Desserts, Pizza",900,4,404,4.220607,https://images.unsplash.com/photo-1569096651661-820d0de8b4ab?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8ODF8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Debit Card', 'Dinner', 'Mall Parking', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Live Music', 'Rooftop', 'Air Conditioned', 'Private Dining Area Available', 'Buffet', 'Indoor Seating', 'Table booking recommended', 'Kid Friendly', 'Smoking Area']",,,,,,,"Cash, No Alcohol Available, Debit Card, Takeaway Available, Lunch, Delivery, Dinner, Credit Card,",G4
